Date,BRL=X,ITUB4.SA,PETR4.SA,VALE3.SA,^BVSP
2022-01-03,5.569300174713135,18.76254653930664,12.735182762145996,61.81153106689453,103922.0
2022-01-04,5.68120002746582,19.294635772705078,12.783340454101562,61.08247375488281,103514.0
2022-01-05,5.676199913024902,18.928281784057617,12.288642883300781,61.660972595214844,101006.0
2022-01-06,5.705635070800781,19.312074661254883,12.279888153076172,62.905120849609375,101561.0
2022-01-07,5.682400226593018,19.739490509033203,12.336798667907715,66.56627655029297,102719.0
2022-01-10,5.632199764251709,19.922664642333984,12.262375831604004,65.7738037109375,101945.0
2022-01-11,5.662199974060059,20.36752700805664,12.625736236572266,67.02589416503906,103779.0
2022-01-12,5.567299842834473,20.280298233032227,13.010990142822266,67.75494384765625,105686.0
2022-01-13,5.533199787139893,20.655384063720703,13.273659706115723,66.72476196289062,105530.0
2022-01-14,5.526700019836426,20.498371124267578,13.76835823059082,67.1130599975586,106928.0
2022-01-17,5.533299922943115,20.498371124267578,13.79024887084961,66.7643814086914,106692.0
2022-01-18,5.5157999992370605,20.620481491088867,13.85153579711914,68.39684295654297,106522.0
2022-01-19,5.565700054168701,20.48092269897461,13.785869598388672,69.90250396728516,108013.0
2022-01-20,5.43720006942749,20.315195083618164,13.886560440063477,68.71381378173828,109102.0
2022-01-21,5.418099880218506,20.323909759521484,13.908449172973633,67.28739929199219,108942.0
2022-01-24,5.457099914550781,20.29775047302246,13.987252235412598,66.4632568359375,107752.0
2022-01-25,5.486100196838379,21.030458450317383,14.442548751831055,66.61381530761719,109845.0
2022-01-26,5.440703868865967,21.257247924804688,14.827799797058105,66.80400848388672,111573.0
2022-01-27,5.429166793823242,21.361923217773438,14.832178115844727,66.95455932617188,112315.0
2022-01-28,5.40348482131958,21.623611450195312,14.245545387268066,66.29683685302734,111478.0
2022-01-31,5.362599849700928,22.09462547302246,14.16236686706543,64.08587646484375,112388.0
2022-02-01,5.303100109100342,22.249691009521484,14.44692611694336,67.60437774658203,113147.0
2022-02-02,5.264500141143799,21.90053939819336,14.236787796020508,67.9847640991211,112161.0
2022-02-03,5.260900020599365,22.153671264648438,14.039783477783203,67.95306396484375,111696.0
2022-02-04,5.282899856567383,22.2235050201416,14.284945487976074,69.73609161376953,112245.0
2022-02-07,5.326900005340576,22.101299285888672,14.074807167053223,71.42401123046875,111996.0
2022-02-08,5.262599945068359,22.3457088470459,13.934714317321777,72.42250061035156,112234.0
2022-02-09,5.258399963378906,21.455371856689453,13.987252235412598,72.4383544921875,112461.0
2022-02-10,5.234499931335449,21.865623474121094,14.201766014099121,74.38780975341797,113359.0
2022-02-11,5.248700141906738,23.15749168395996,14.779642105102539,72.88213348388672,113572.0
2022-02-14,5.249956130981445,23.10511016845703,14.44692611694336,72.56514739990234,113807.0
2022-02-15,5.214000225067139,23.323331832885742,14.21927547454834,70.40966796875,114660.0
2022-02-16,5.157899856567383,23.07892417907715,14.416279792785645,70.92477416992188,115181.0
2022-02-17,5.135799884796143,22.755964279174805,14.359368324279785,67.87382507324219,113528.0
2022-02-18,5.170599937438965,22.843246459960938,14.44692611694336,68.01646423339844,112768.0
2022-02-21,5.137499809265137,22.284605026245117,14.819042205810547,68.07192993164062,111725.0
2022-02-22,5.102700233459473,22.488676071166992,14.770886421203613,69.252685546875,112892.0
2022-02-23,5.05709981918335,22.17426872253418,14.981024742126465,68.52362823486328,112008.0
2022-02-24,5.008699893951416,21.79872703552246,14.617661476135254,69.3715591430664,111592.0
2022-02-25,5.122200012207031,22.244136810302734,14.884711265563965,73.1278076171875,113142.0
2022-02-28,5.15939998626709,,,,
2022-03-01,5.158400058746338,,,,
2022-03-02,5.158999919891357,21.875019073486328,15.178028106689453,78.96819305419922,115174.0
2022-03-03,5.096502780914307,21.892501831054688,14.989782333374023,79.0078125,115166.0
2022-03-04,5.030900001525879,21.56040382385254,14.985404014587402,80.80670166015625,114474.0
2022-03-07,5.06056022644043,21.097200393676758,13.92158317565918,83.26329803466797,111593.0
2022-03-08,5.110499858856201,20.89620018005371,14.210521697998047,79.61006927490234,111203.0
2022-03-09,5.058800220489502,21.936201095581055,14.254302024841309,77.51102447509766,113900.0
2022-03-10,5.011499881744385,21.95368003845215,14.753374099731445,80.0703125,113663.0
2022-03-11,5.009699821472168,21.708969116210938,14.223655700683594,79.65062713623047,111713.0
2022-03-14,5.073500156402588,22.014856338500977,13.952228546142578,75.37965393066406,109928.0
2022-03-15,5.121399879455566,21.936201095581055,13.615132331848145,73.21537017822266,108959.0
2022-03-16,5.1631999015808105,22.36443519592285,13.496930122375488,74.99288177490234,111112.0
2022-03-17,5.0738749504089355,22.853853225708008,13.137947082519531,77.6015396118164,113076.0
2022-03-18,5.039400100708008,23.01990509033203,13.400619506835938,79.07456970214844,115311.0
2022-03-21,5.0177998542785645,23.587966918945312,13.904071807861328,81.31291198730469,116155.0
2022-03-22,4.935200214385986,23.911333084106445,13.842782020568848,79.49425506591797,117272.0
2022-03-23,4.909999847412109,23.80645179748535,14.031027793884277,79.37081909179688,117457.0
2022-03-24,4.82420015335083,23.963769912719727,14.193008422851562,79.74937438964844,119053.0
2022-03-25,4.826300144195557,24.007469177246094,14.14047622680664,78.36685180664062,119081.0
2022-03-28,4.7368998527526855,23.989992141723633,13.834025382995605,78.4573745727539,118738.0
2022-03-29,4.764100074768066,24.269657135009766,14.14047622680664,77.78257751464844,120014.0
2022-03-30,4.756199836730957,24.32209014892578,14.442548751831055,78.8935317993164,120260.0
